order_id,customer_id,restaurant,city,order_date,delivery_time_minutes,item,quantity,price,discount,payment_method,rating
1,1102,Kebab House,alex,2024-01-01 00:00:00,40.0,Kebab,4,265,13,Wallet,1.0
2,1435,Sushi World,alex,2024-01-01 01:00:00,30.0,Pasta,2,241,5,Card,3.0
3,1860,Burger Town,Cairo,2024-01-01 02:00:00,,Pasta,3,240,13,Wallet,2.0
4,1270,Sushi World,cairo,2024-01-01 03:00:00,43.0,Kebab,3,269,16,Wallet,2.0
5,1106,Burger Town,Cairo,2024-01-01 04:00:00,12.0,Pizza,1,129,17,Cash,2.0
6,1071,Pizza Hub,,2024-01-01 05:00:00,50.0,Burger,1,65,19,Wallet,4.0
7,1700,Sushi World,Alex,2024-01-01 06:00:00,35.0,Pizza,4,153,18,Wallet,4.0
8,1020,Kebab House,Giza,2024-01-01 07:00:00,30.0,Pasta,1,280,29,Cash,3.0
9,1614,Kebab House,Cairo,2024-01-01 08:00:00,33.0,Pizza,2,119,16,Card,2.0
10,1121,Pasta Point,Alex,2024-01-01 09:00:00,34.0,Burger,3,243,15,Cash,3.0
11,1466,Burger Town,Giza,2024-01-01 10:00:00,14.0,Sushi,3,295,7,Cash,2.0
12,1214,Sushi World,CAIRO,2024-01-01 11:00:00,52.0,Pizza,1,190,6,Wallet,1.0
13,1330,Pasta Point,Cairo,2024-01-01 12:00:00,35.0,Kebab,4,157,19,Wallet,5.0
14,1458,Sushi World,Cairo,2024-01-01 13:00:00,40.0,Sushi,1,96,27,Card,5.0
15,1087,Burger Town,CAIRO,2024-01-01 14:00:00,46.0,Kebab,4,58,11,Wallet,2.0
16,1372,Kebab House,CAIRO,2024-01-01 15:00:00,22.0,Kebab,2,240,8,Card,3.0
17,1099,Pizza Hub,Cairo,2024-01-01 16:00:00,40.0,Kebab,3,83,26,Card,4.0
18,1871,Kebab House,CAIRO,2024-01-01 17:00:00,31.0,Pizza,2,258,13,Card,2.0
19,1663,Pasta Point,cairo,2024-01-01 18:00:00,45.0,Pasta,3,268,19,Card,2.0
20,1130,Pizza Hub,,2024-01-01 19:00:00,,Sushi,2,206,0,Wallet,4.0
21,1661,Pasta Point,Giza,2024-01-01 20:00:00,33.0,Burger,1,214,9,Cash,2.0
22,1308,Burger Town,,2024-01-01 21:00:00,27.0,Pasta,2,220,16,Cash,
23,1769,Pizza Hub,cairo,2024-01-01 22:00:00,40.0,Pizza,2,135,16,Wallet,
24,1343,Pasta Point,CAIRO,2024-01-01 23:00:00,40.0,Kebab,1,164,16,Wallet,1.0
25,1491,Burger Town,Alex,2024-01-02 00:00:00,26.0,Burger,3,113,3,Card,5.0
26,1413,Kebab House,CAIRO,2024-01-02 01:00:00,,Sushi,3,201,16,Wallet,4.0
27,1805,Burger Town,Cairo,2024-01-02 02:00:00,33.0,Pasta,1,248,17,Cash,4.0
28,1385,Sushi World,alex,2024-01-02 03:00:00,24.0,Pasta,2,83,19,Wallet,3.0
29,1191,Burger Town,Giza,2024-01-02 04:00:00,45.0,Burger,2,225,22,Wallet,3.0
30,1955,Burger Town,CAIRO,2024-01-02 05:00:00,30.0,Pizza,2,61,1,Card,4.0
31,1276,Sushi World,Alex,2024-01-02 06:00:00,0.0,Sushi,4,200,7,Card,5.0
32,1160,Pasta Point,Cairo,2024-01-02 07:00:00,,Burger,3,256,12,Card,2.0
33,1459,Pasta Point,cairo,2024-01-02 08:00:00,22.0,Kebab,2,146,22,Card,3.0
34,1313,Burger Town,cairo,2024-01-02 09:00:00,,Sushi,3,170,24,Cash,5.0
35,1021,Sushi World,Alex,2024-01-02 10:00:00,20.0,Pasta,2,190,29,Wallet,5.0
36,1252,Sushi World,Cairo,2024-01-02 11:00:00,36.0,Burger,1,136,21,Wallet,3.0
37,1747,Kebab House,Giza,2024-01-02 12:00:00,50.0,Pasta,1,151,19,Card,2.0
38,1856,Pasta Point,CAIRO,2024-01-02 13:00:00,38.0,Pasta,3,145,21,Cash,3.0
39,1560,Pizza Hub,Cairo,2024-01-02 14:00:00,27.0,Pasta,3,222,14,Cash,5.0
40,1474,Pasta Point,cairo,2024-01-02 15:00:00,40.0,Pizza,1,163,19,Wallet,1.0
41,1058,Pasta Point,Alex,2024-01-02 16:00:00,29.0,Pasta,4,276,22,Card,3.0
42,1510,Kebab House,Alex,2024-01-02 17:00:00,26.0,Kebab,1,242,8,Wallet,5.0
43,1681,Pizza Hub,CAIRO,2024-01-02 18:00:00,21.0,Kebab,2,96,2,Wallet,3.0
44,1475,Kebab House,Alex,2024-01-02 19:00:00,13.0,Sushi,4,107,2,Cash,5.0
45,1699,Pizza Hub,Alex,2024-01-02 20:00:00,30.0,Pasta,1,286,1,Cash,2.0
46,1975,Burger Town,Cairo,2024-01-02 21:00:00,36.0,Pasta,4,182,0,Wallet,5.0
47,1782,Pizza Hub,Giza,2024-01-02 22:00:00,33.0,Burger,4,170,13,Card,4.0
48,1189,Kebab House,CAIRO,2024-01-02 23:00:00,30.0,Pizza,4,254,16,Card,1.0
49,1957,Pasta Point,Cairo,2024-01-03 00:00:00,23.0,Sushi,3,167,12,Wallet,5.0
50,1686,Pizza Hub,Giza,2024-01-03 01:00:00,42.0,Pasta,1,54,18,Wallet,3.0
51,1957,Pizza Hub,Cairo,2024-01-03 02:00:00,19.0,Burger,3,237,29,Card,3.0
52,1562,Sushi World,alex,2024-01-03 03:00:00,44.0,Pizza,3,145,22,Card,5.0
53,1875,Pasta Point,,2024-01-03 04:00:00,22.0,Sushi,2,292,14,Card,4.0
54,1566,Burger Town,Alex,2024-01-03 05:00:00,25.0,Sushi,2,70,26,Wallet,5.0
55,1243,Kebab House,Giza,2024-01-03 06:00:00,17.0,Pasta,4,201,24,Cash,2.0
56,1831,Burger Town,CAIRO,2024-01-03 07:00:00,28.0,Sushi,4,177,13,Card,4.0
57,1504,Pasta Point,CAIRO,2024-01-03 08:00:00,46.0,Burger,2,173,1,Card,5.0
58,1130,Pizza Hub,Giza,2024-01-03 09:00:00,41.0,Sushi,2,195,6,Card,1.0
59,1484,Pizza Hub,Alex,2024-01-03 10:00:00,46.0,Kebab,1,70,16,Wallet,
60,1818,Pasta Point,cairo,2024-01-03 11:00:00,41.0,Burger,4,103,17,Cash,5.0
61,1646,Pizza Hub,Cairo,2024-01-03 12:00:00,21.0,Pizza,4,187,5,Cash,1.0
62,1020,Pizza Hub,Alex,2024-01-03 13:00:00,31.0,Pizza,2,201,26,Card,5.0
63,1840,Pizza Hub,alex,2024-01-03 14:00:00,25.0,Pasta,1,153,20,Wallet,2.0
64,1166,Kebab House,Giza,2024-01-03 15:00:00,50.0,Pasta,2,160,7,Cash,3.0
65,1273,Kebab House,Cairo,2024-01-03 16:00:00,20.0,Kebab,2,262,27,Wallet,5.0
66,1387,Sushi World,CAIRO,2024-01-03 17:00:00,45.0,Pizza,3,266,26,Cash,4.0
67,1600,Burger Town,,2024-01-03 18:00:00,45.0,Pizza,4,165,1,Card,5.0
68,1315,Pasta Point,alex,2024-01-03 19:00:00,56.0,Pizza,1,237,0,Wallet,5.0
69,1013,Pasta Point,CAIRO,2024-01-03 20:00:00,30.0,Pizza,3,106,15,Card,5.0
70,1241,Pasta Point,Giza,2024-01-03 21:00:00,43.0,Sushi,4,177,6,Cash,5.0
71,1776,Sushi World,Cairo,2024-01-03 22:00:00,62.0,Burger,2,200,21,Cash,4.0
72,1345,Kebab House,,2024-01-03 23:00:00,27.0,Burger,1,199,23,Card,4.0
73,1564,Sushi World,,2024-01-04 00:00:00,16.0,Kebab,4,245,10,Cash,5.0
74,1897,Pasta Point,Alex,2024-01-04 01:00:00,12.0,Sushi,2,211,14,Card,3.0
75,1339,Burger Town,cairo,2024-01-04 02:00:00,43.0,Pizza,3,169,12,Card,5.0
76,1091,Pizza Hub,Alex,2024-01-04 03:00:00,12.0,Pizza,1,119,29,Card,4.0
